Date,InvoiceId,Qty,Freight,LineAmount1,InvoiceCat,CustomerName,State,City,Year,Month,Day,Y-M,WeekDay
2018-02-11,DD-1819/540,232.0,0.0,36379.92,DD-1819,Customer 101,MH,RAIGAD,2018,02,11,2018-02,Sunday
2018-04-07,SGE-1819/3402,12.0,7.05,3046.32,SGE-1819,Customer 32,CH,CHANDIGARH,2018,04,07,2018-04,Saturday
2018-04-07,SGE-1819/3401,72.0,54.53,13968.0,SGE-1819,Customer 64,TS,SECUNDRABAD,2018,04,07,2018-04,Saturday
2018-04-09,SGE-1819/5496,10.0,0.0,2932.1,SGE-1819,Customer 112,MP,KATNI,2018,04,09,2018-04,Monday
2018-04-10,DD-1819/487,250.0,0.0,39202.5,DD-1819,Customer 130,DN,SILVASSA,2018,04,10,2018-04,Tuesday
2018-04-10,SGE-1819/6500,132.0,0.0,18955.2,SGE-1819,Customer 110,HR,GURGAON,2018,04,10,2018-04,Tuesday
2018-04-12,SGE-1819/8478,12.0,6.24,2855.36,SGE-1819,Customer 53,PB,LUDHIANA,2018,04,12,2018-04,Thursday
2018-05-07,SGE-1819/3431,12.0,0.0,3046.32,SGE-1819,Customer 32,CH,CHANDIGARH,2018,05,07,2018-05,Monday
2018-05-07,SGE-1819/3423,30.0,15.0,7615.8,SGE-1819,Customer 49,CT,BILASPUR,2018,05,07,2018-05,Monday
2018-05-09,SGE-1819/5541,19.0,10.92,5524.74,SGE-1819,Customer 35,MH,PUNE,2018,05,09,2018-05,Wednesday
2018-05-10,SGE-1819/6553,96.0,63.92,15310.51,SGE-1819,Customer 57,GJ,AHMEDABAD,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6537,1.0,0.0,145.39,SGE-1819,Customer 4,RJ,JAIPUR,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6555,48.0,37.29,12783.65,SGE-1819,Customer 131,WB,MURSHEDABAD,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6556,22.0,11.0,5234.83,SGE-1819,Customer 53,PB,LUDHIANA,2018,05,10,2018-05,Thursday
2018-05-11,SGE-1819/7706,100.0,55.0,26196.0,SGE-1819,Customer 141,CT,RAIPUR,2018,05,11,2018-05,Friday
2018-05-11,SGE-1819/7678,12.0,10.83,3195.91,SGE-1819,Customer 27,MH,AURANGABAD,2018,05,11,2018-05,Friday
2018-05-11,SGE-1819/7701,504.0,379.69,97776.0,SGE-1819,Customer 19,PB,JALANDHAR CITY,2018,05,11,2018-05,Friday
2018-06-07,SGE-1819/3461,24.0,14.0,6287.04,SGE-1819,Customer 66,GJ,JAMNAGAR,2018,06,07,2018-06,Thursday
2018-06-07,SGE-1819/3463,12.0,7.0,3046.32,SGE-1819,Customer 55,TS,GODAVARIKHANI,2018,06,07,2018-06,Thursday
2018-06-09,SGE-1819/5591,24.0,11.54,5710.73,SGE-1819,Customer 53,PB,LUDHIANA,2018,06,09,2018-06,Saturday
2018-06-10,SGE-1819/6574,444.0,0.0,116310.24,SGE-1819,Customer 44,AP,VISAKHAPATNAM,2018,06,10,2018-06,Sunday
2018-06-11,SGE-1819/7715,24.0,0.0,6978.61,SGE-1819,Customer 142,CT,KORBA,2018,06,11,2018-06,Monday
2018-06-12,SGE-1819/8571,120.0,107.69,31435.2,SGE-1819,Customer 99,PB,LUDHIANA,2018,06,12,2018-06,Tuesday
2018-06-13,SGE-1819/2455,12.0,6.0,3046.32,SGE-1819,Customer 27,MH,AURANGABAD,2018,06,13,2018-06,Wednesday
2018-06-13,DD-1819/190,200.0,0.0,31362.0,DD-1819,Customer 25,GJ,JAMNAGAR,2018,06,13,2018-06,Wednesday
2018-06-13,DD-1819/189,100.0,0.0,15682.0,DD-1819,Customer 26,GJ,JAMNAGAR,2018,06,13,2018-06,Wednesday
2018-06-14,SGE-1819/2497,72.0,59.64,18887.18,SGE-1819,Customer 28,HR,BALLABHGARH,2018,06,14,2018-06,Thursday
2018-06-15,SGE-1819/2531,48.0,39.93,12574.08,SGE-1819,Customer 29,AP,VIJAYWADA,2018,06,15,2018-06,Friday
2018-06-16,DD-1819/195,24.0,0.0,3763.44,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,90.0,0.0,14112.9,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,1.0,0.0,156.81,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,50.0,0.0,7840.5,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,SGE-1819/2564,12.0,6.02,3046.32,SGE-1819,Customer 31,MH,BALLARPUR,2018,06,16,2018-06,Saturday
2018-06-16,SGE-1819/2580,60.0,49.84,15231.6,SGE-1819,Customer 32,CH,CHANDIGARH,2018,06,16,2018-06,Saturday
2018-06-18,SGE-1819/2670,504.0,361.69,97776.0,SGE-1819,Customer 16,MP,BHOPAL,2018,06,18,2018-06,Monday
2018-06-18,SGE-1819/2671,2016.0,1444.17,379008.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,06,18,2018-06,Monday
2018-06-18,SGE-1819/2677,12.0,7.0,3489.31,SGE-1819,Customer 35,MH,PUNE,2018,06,18,2018-06,Monday
2018-06-19,SGE-1819/2727,18.0,0.0,4872.46,SGE-1819,Customer 44,AP,VISAKHAPATNAM,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2693,504.0,371.69,97776.0,SGE-1819,Customer 37,UT,HARIDWAR,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2708,384.0,272.48,74496.0,SGE-1819,Customer 38,UP,GHAZIABAD,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2711,30.0,18.0,7425.41,SGE-1819,Customer 39,UP,MEERUT,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2726,4.0,2.0,1127.14,SGE-1819,Customer 41,GJ,JAMNAGAR,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2720,9.0,6.0,2475.14,SGE-1819,Customer 40,TS,HYDERABAD,2018,06,19,2018-06,Tuesday
2018-06-19,SGE-1819/2734,1008.0,752.08,189504.0,SGE-1819,Customer 42,MH,RAIGAD,2018,06,19,2018-06,Tuesday
2018-06-20,DD-1819/202,30.0,0.0,4704.3,DD-1819,Customer 46,GJ,BHARUCH,2018,06,20,2018-06,Wednesday
2018-06-20,DD-1819/202,49.0,0.0,7683.69,DD-1819,Customer 46,GJ,BHARUCH,2018,06,20,2018-06,Wednesday
2018-06-20,DD-1819/202,115.0,0.0,18033.15,DD-1819,Customer 46,GJ,BHARUCH,2018,06,20,2018-06,Wednesday
2018-06-20,SGE-1819/2766,50.0,43.2,12693.0,SGE-1819,Customer 48,UP,SONEBHANDRA,2018,06,20,2018-06,Wednesday
2018-06-20,SGE-1819/2762,12.0,0.0,3489.31,SGE-1819,Customer 35,MH,PUNE,2018,06,20,2018-06,Wednesday
2018-06-21,SGE-1819/2825,60.0,49.84,15231.6,SGE-1819,Customer 55,TS,GODAVARIKHANI,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2842,120.0,83.46,22560.0,SGE-1819,Customer 10,MH,MUMBAI,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2810,150.0,84.32,24576.3,SGE-1819,Customer 5,HR,GURGAON,2018,06,21,2018-06,Thursday
2018-06-21,DD-1819/206,150.0,0.0,23523.0,DD-1819,Customer 51,GJ,VADODARA,2018,06,21,2018-06,Thursday
2018-06-21,DD-1819/206,150.0,0.0,23521.5,DD-1819,Customer 51,GJ,VADODARA,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2841,1008.0,707.08,189504.0,SGE-1819,Customer 10,MH,MUMBAI,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2814,24.0,0.0,5710.73,SGE-1819,Customer 53,PB,LUDHIANA,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2819,50.0,43.42,12904.55,SGE-1819,Customer 48,UP,SONEBHANDRA,2018,06,21,2018-06,Thursday
2018-06-21,SGE-1819/2855,48.0,36.67,12185.28,SGE-1819,Customer 55,TS,GODAVARIKHANI,2018,06,21,2018-06,Thursday
2018-06-22,SGE-1819/2870,23.0,12.85,3768.37,SGE-1819,Customer 5,HR,GURGAON,2018,06,22,2018-06,Friday
2018-06-22,SGE-1819/2918,12.0,3.17,3046.32,SGE-1819,Customer 31,MH,BALLARPUR,2018,06,22,2018-06,Friday
2018-06-22,DD-1819/214,50.0,0.0,7840.5,DD-1819,Customer 46,GJ,BHARUCH,2018,06,22,2018-06,Friday
2018-06-22,DD-1819/214,116.0,0.0,18189.96,DD-1819,Customer 46,GJ,BHARUCH,2018,06,22,2018-06,Friday
2018-06-22,SGE-1819/2905,144.0,65.44,23593.25,SGE-1819,Customer 5,HR,GURGAON,2018,06,22,2018-06,Friday
2018-06-23,DD-1819/219,192.0,0.0,30107.52,DD-1819,Customer 46,GJ,BHARUCH,2018,06,23,2018-06,Saturday
2018-06-26,DD-1819/224,85.0,0.0,13328.85,DD-1819,Customer 46,GJ,BHARUCH,2018,06,26,2018-06,Tuesday
2018-06-26,SGE-1819/3032,380.0,0.0,62259.96,SGE-1819,Customer 5,HR,GURGAON,2018,06,26,2018-06,Tuesday
2018-06-26,SGE-1819/2997,50.0,40.2,12693.0,SGE-1819,Customer 59,KL,KALLETTUMKARA,2018,06,26,2018-06,Tuesday
2018-06-27,SGE-1819/3053,19.0,6.58,3113.0,SGE-1819,Customer 5,HR,GURGAON,2018,06,27,2018-06,Wednesday
2018-06-27,SGE-1819/3060,20.0,12.0,3276.84,SGE-1819,Customer 5,HR,GURGAON,2018,06,27,2018-06,Wednesday
2018-06-28,SGE-1819/3092,192.0,134.74,37248.0,SGE-1819,Customer 61,MH,PALGHAR,2018,06,28,2018-06,Thursday
2018-06-28,SGE-1819/3088,312.0,222.95,60528.0,SGE-1819,Customer 61,MH,PALGHAR,2018,06,28,2018-06,Thursday
2018-06-30,SGE-1819/3250,400.0,273.16,65536.8,SGE-1819,Customer 5,HR,GURGAON,2018,06,30,2018-06,Saturday
2018-07-07,SGE-1819/3563,24.0,20.34,6092.64,SGE-1819,Customer 67,UP,MEERUT,2018,07,07,2018-07,Saturday
2018-07-09,DD-1819/430,2.0,0.0,313.62,DD-1819,Customer 115,MH,NAVI MUMBAI,2018,07,09,2018-07,Monday
2018-07-09,SGE-1819/5604,12.0,4.3,3143.52,SGE-1819,Customer 88,CT,BILASPUR,2018,07,09,2018-07,Monday
2018-07-31,SGE-1819/4403,9.0,0.0,2878.65,SGE-1819,Customer 44,AP,VISAKHAPATNAM,2018,07,31,2018-07,Tuesday
2018-08-06,SGE-1819/2316,504.0,401.69,97776.0,SGE-1819,Customer 10,MH,MUMBAI,2018,08,06,2018-08,Monday
2018-08-06,SGE-1819/2325,1008.0,707.08,189504.0,SGE-1819,Customer 15,JH,JAMSHEDPUR,2018,08,06,2018-08,Monday
2018-08-06,SGE-1819/2327,48.0,37.31,12794.54,SGE-1819,Customer 14,GJ,RAJKOT,2018,08,06,2018-08,Monday
2018-08-06,SGE-1819/2317,1008.0,707.08,189504.0,SGE-1819,Customer 13,GJ,VAPI,2018,08,06,2018-08,Monday
2018-08-06,SGE-1819/2323,1008.0,707.08,189504.0,SGE-1819,Customer 12,MH,NASHIK,2018,08,06,2018-08,Monday
2018-08-06,SGE-1819/2324,504.0,356.69,97776.0,SGE-1819,Customer 11,WB,KOLKATTA,2018,08,06,2018-08,Monday
2018-08-12,SGE-1819/8626,10.0,0.0,2929.59,SGE-1819,Customer 112,MP,KATNI,2018,08,12,2018-08,Sunday
2018-08-18,SGE-1819/4971,1008.0,505.0,189504.0,SGE-1819,Customer 74,GJ,GANDHIDHAM,2018,08,18,2018-08,Saturday
2018-08-20,SGE-1819/5041,1008.0,797.08,189504.0,SGE-1819,Customer 15,JH,JAMSHEDPUR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5042,504.0,361.69,97776.0,SGE-1819,Customer 22,GJ,VADODARA,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5045,48.0,0.0,12574.08,SGE-1819,Customer 44,AP,VISAKHAPATNAM,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5034,504.0,353.69,97776.0,SGE-1819,Customer 98,HR,PANIPAT,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5033,1035.0,696.36,169576.47,SGE-1819,Customer 5,HR,GURGAON,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5048,1008.0,702.08,189504.0,SGE-1819,Customer 21,GJ,BHARUCH,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/4992,1012.0,707.87,190256.0,SGE-1819,Customer 13,GJ,VAPI,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5021,480.0,336.84,93120.0,SGE-1819,Customer 97,MH,PUNE,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5020,24.0,0.0,4656.0,SGE-1819,Customer 97,MH,PUNE,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5051,144.0,107.63,34264.37,SGE-1819,Customer 53,PB,LUDHIANA,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5030,504.0,353.69,97776.0,SGE-1819,Customer 62,MH,NAGPUR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5046,48.0,36.67,12185.28,SGE-1819,Customer 87,KA,BELGAUM,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5044,48.0,38.67,12185.28,SGE-1819,Customer 32,CH,CHANDIGARH,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5031,504.0,353.69,97776.0,SGE-1819,Customer 37,UT,HARIDWAR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5040,1008.0,837.08,189504.0,SGE-1819,Customer 24,GJ,BHARUCH,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5050,24.0,12.0,6287.04,SGE-1819,Customer 86,MP,INDORE,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5043,24.0,15.0,6287.04,SGE-1819,Customer 93,MP,GWALIOR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/4994,700.0,491.23,135800.0,SGE-1819,Customer 95,TN,CHENNAI,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/4993,4032.0,2808.34,758016.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5047,48.0,38.52,13957.23,SGE-1819,Customer 96,KA,BANGALORE,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5049,504.0,353.69,97776.0,SGE-1819,Customer 63,GJ,VERAVAL,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5036,1008.0,702.08,189504.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,08,20,2018-08,Monday
2018-08-20,SGE-1819/5039,504.0,401.69,97776.0,SGE-1819,Customer 94,MH,MULUND,2018,08,20,2018-08,Monday
2018-08-21,SGE-1819/5055,200.0,154.49,52392.0,SGE-1819,Customer 99,PB,LUDHIANA,2018,08,21,2018-08,Tuesday
2018-08-21,SGE-1819/5076,60.0,53.84,15231.6,SGE-1819,Customer 32,CH,CHANDIGARH,2018,08,21,2018-08,Tuesday
2018-08-21,SGE-1819/5058,140.0,108.14,36674.4,SGE-1819,Customer 80,CT,RAIPUR,2018,08,21,2018-08,Tuesday
2018-08-21,SGE-1819/5056,24.0,12.0,6238.44,SGE-1819,Customer 91,OR,ROURKELA,2018,08,21,2018-08,Tuesday
2018-08-22,DD-1819/359,110.0,0.0,17249.1,DD-1819,Customer 46,GJ,BHARUCH,2018,08,22,2018-08,Wednesday
2018-08-22,DD-1819/357,108.0,0.0,16935.48,DD-1819,Customer 101,MH,RAIGAD,2018,08,22,2018-08,Wednesday
2018-08-22,DD-1819/358,162.0,0.0,25404.84,DD-1819,Customer 101,MH,RAIGAD,2018,08,22,2018-08,Wednesday
2018-08-22,SGE-1819/5120,12.0,0.0,3046.32,SGE-1819,Customer 92,UP,LUCKNOW,2018,08,22,2018-08,Wednesday
2018-08-22,SGE-1819/5138,100.0,73.16,29077.56,SGE-1819,Customer 103,JK,JAMMU,2018,08,22,2018-08,Wednesday
2018-08-23,SGE-1819/5192,648.0,501.74,125712.0,SGE-1819,Customer 64,TS,SECUNDRABAD,2018,08,23,2018-08,Thursday
2018-08-23,SGE-1819/5193,504.0,381.69,97776.0,SGE-1819,Customer 104,RJ,KOTA,2018,08,23,2018-08,Thursday
2018-08-23,DD-1819/361,100.0,0.0,15681.0,DD-1819,Customer 46,GJ,BHARUCH,2018,08,23,2018-08,Thursday
2018-08-23,DD-1819/362,225.0,0.0,37937.25,DD-1819,Customer 1,GJ,JAMNAGAR,2018,08,23,2018-08,Thursday
2018-08-23,SGE-1819/5155,12.0,0.0,3248.3,SGE-1819,Customer 105,UP,CHANDAULI,2018,08,23,2018-08,Thursday
2018-08-23,DD-1819/365,300.0,0.0,47043.0,DD-1819,Customer 1,GJ,JAMNAGAR,2018,08,23,2018-08,Thursday
2018-08-24,SGE-1819/5224,12.0,8.0,3046.32,SGE-1819,Customer 59,KL,KALLETTUMKARA,2018,08,24,2018-08,Friday
2018-08-24,SGE-1819/5239,12.0,5.69,3143.52,SGE-1819,Customer 106,CT,CHAMPA,2018,08,24,2018-08,Friday
2018-08-24,SGE-1819/5260,1008.0,698.08,189504.0,SGE-1819,Customer 12,MH,NASHIK,2018,08,24,2018-08,Friday
2018-08-24,DD-1819/366,500.0,0.0,78410.0,DD-1819,Customer 1,GJ,JAMNAGAR,2018,08,24,2018-08,Friday
2018-08-24,SGE-1819/5223,504.0,381.69,97776.0,SGE-1819,Customer 45,JH,JAMSHEDPUR,2018,08,24,2018-08,Friday
2018-08-25,DD-1819/369,100.0,0.0,15682.0,DD-1819,Customer 65,GJ,VADODARA,2018,08,25,2018-08,Saturday
2018-08-25,DD-1819/367,30.0,0.0,4704.6,DD-1819,Customer 25,GJ,JAMNAGAR,2018,08,25,2018-08,Saturday
2018-08-25,DD-1819/371,50.0,0.0,7840.5,DD-1819,Customer 1,GJ,JAMNAGAR,2018,08,25,2018-08,Saturday
2018-08-25,SGE-1819/5286,20.0,10.0,5077.2,SGE-1819,Customer 85,OR,JAJPUR,2018,08,25,2018-08,Saturday
2018-08-25,DD-1819/367,20.0,0.0,3136.4,DD-1819,Customer 25,GJ,JAMNAGAR,2018,08,25,2018-08,Saturday
2018-08-28,DD-1819/379,36.0,0.0,5645.16,DD-1819,Customer 107,PB,HOSHIARPUR,2018,08,28,2018-08,Tuesday
2018-08-28,DD-1819/380,10.0,0.0,1568.1,DD-1819,Customer 26,GJ,JAMNAGAR,2018,08,28,2018-08,Tuesday
2018-08-29,SGE-1819/5366,12.0,6.0,3046.32,SGE-1819,Customer 40,TS,HYDERABAD,2018,08,29,2018-08,Wednesday
2018-08-30,DD-1819/383,392.0,0.0,61469.52,DD-1819,Customer 101,MH,RAIGAD,2018,08,30,2018-08,Thursday
2018-08-31,SGE-1819/5421,48.0,0.0,6892.8,SGE-1819,Customer 110,HR,GURGAON,2018,08,31,2018-08,Friday
2018-08-31,SGE-1819/5466,12.0,7.67,3489.31,SGE-1819,Customer 69,CH,CHANDIGARH,2018,08,31,2018-08,Friday
2018-09-06,SGE-1819/2341,432.0,325.16,83808.0,SGE-1819,Customer 16,MP,BHOPAL,2018,09,06,2018-09,Thursday
2018-09-06,SGE-1819/2338,504.0,373.54,94752.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,09,06,2018-09,Thursday
2018-09-06,SGE-1819/2340,252.0,206.53,63972.72,SGE-1819,Customer 17,UP,SONEBHANDRA,2018,09,06,2018-09,Thursday
2018-09-06,SGE-1819/2339,2016.0,1504.17,379008.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,09,06,2018-09,Thursday
2018-09-07,SGE-1819/3580,12.0,7.0,3489.31,SGE-1819,Customer 68,AP,Pendurthy,2018,09,07,2018-09,Friday
2018-09-26,SGE-1819/6249,12.0,6.0,3489.31,SGE-1819,Customer 76,MH,MUMBAI,2018,09,26,2018-09,Wednesday
2018-09-27,DD-1819/473,25.0,196.03,3920.5,DD-1819,Customer 125,MH,Navi Mumbai,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6305,4.0,0.0,1065.3,SGE-1819,Customer 124,TN,COIMBATORE,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6293,1008.0,702.08,189504.0,SGE-1819,Customer 33,RJ,BHILWARA,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6295,504.0,353.69,97776.0,SGE-1819,Customer 97,MH,PUNE,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6304,9.0,5.12,2284.74,SGE-1819,Customer 40,TS,HYDERABAD,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6292,1512.0,1055.63,284256.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6296,1008.0,505.0,189504.0,SGE-1819,Customer 74,GJ,GANDHIDHAM,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6294,504.0,252.0,97776.0,SGE-1819,Customer 11,WB,KOLKATTA,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/468,100.0,0.0,15682.0,DD-1819,Customer 26,GJ,JAMNAGAR,2018,09,27,2018-09,Thursday
2018-09-27,SGE-1819/6297,504.0,353.69,97776.0,SGE-1819,Customer 16,MP,BHOPAL,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/466,90.0,0.0,14112.9,DD-1819,Customer 46,GJ,BHARUCH,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/471,100.0,0.0,15681.0,DD-1819,Customer 46,GJ,BHARUCH,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/469,108.0,0.0,16935.48,DD-1819,Customer 46,GJ,BHARUCH,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/466,50.0,0.0,7840.5,DD-1819,Customer 46,GJ,BHARUCH,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/467,45.0,0.0,7056.45,DD-1819,Customer 25,GJ,JAMNAGAR,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/472,30.0,0.0,4704.6,DD-1819,Customer 122,MH,MUMBAI,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/472,50.0,0.0,7840.5,DD-1819,Customer 122,MH,MUMBAI,2018,09,27,2018-09,Thursday
2018-09-27,DD-1819/470,2.0,0.0,313.62,DD-1819,Customer 30,GJ,AHMEDABAD,2018,09,27,2018-09,Thursday
2018-09-28,SGE-1819/6331,400.0,268.16,65536.8,SGE-1819,Customer 5,HR,GURGAON,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6311,48.0,19.59,12476.88,SGE-1819,Customer 91,OR,ROURKELA,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6319,5.0,3.37,1453.88,SGE-1819,Customer 35,MH,PUNE,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6309,504.0,252.0,97776.0,SGE-1819,Customer 128,MH,NAGPUR,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6320,12.0,6.02,2986.34,SGE-1819,Customer 67,UP,MEERUT,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6322,47.0,36.93,12433.27,SGE-1819,Customer 14,GJ,RAJKOT,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6314,216.0,166.85,56583.36,SGE-1819,Customer 40,TS,HYDERABAD,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6318,504.0,353.69,97776.0,SGE-1819,Customer 127,GJ,AHMEDABAD,2018,09,28,2018-09,Friday
2018-09-28,SGE-1819/6312,48.0,37.08,12574.08,SGE-1819,Customer 29,AP,VIJAYWADA,2018,09,28,2018-09,Friday
2018-09-28,DD-1819/475,2.0,0.0,313.62,DD-1819,Customer 30,GJ,AHMEDABAD,2018,09,28,2018-09,Friday
